svg,link,icon,not_modal,dynamic_modal,title,info_link,info_photo_link,info_tagline,comments
rocky-shore,rocky-shore_colonial-seabirds.html,colonial-seabirds,F,F,Colonial seabirds,https://olympiccoast.noaa.gov/living/marinelife/birds/birds.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_murres.html,"Olympic Coast National Marine Sanctuary is used by more than 100 different species of marine birds and shorebirds. Many of the birds that are here in significant numbers in the summer, such as sooty shearwaters and black-footed albatross, travel to the Olympic Coast from nesting areas thousands of miles away. Other seabirds, like Tufted Puffins and Common Murre, nest on offshore islands and live hear year-round. All seabird species, whether they nest in our region or only visit, tell us something about the health of our marine ecosystem. They breed more successfully when food is abundant, they are sensitive to water contamination such as oil, they respond to human disturbance, and sometimes suffer from disruption of their nesting and roosting sites. By admiring, studying and observing marine birds we can learn much about the ocean as a whole.",NA
rocky-shore,rocky-shore_invertebrate-diversity.html,invertebrate-diversity,F,F,Invertebrate diversity,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,NA,"Invertebrates (animals without backbones) are the largest group of animals on the planet. In the ocean, they reveal every conceivable function and design that evolution could muster. Some are simple digestive systems encased in a gelatinous film. Others, like the octopus, show powerful evolutionary development. Intertidal invertebrates like sea stars must live in two worlds, submerged by high tide and exposed at low. Seafloor dwellers, like basket stars, live in an environment of darkness, pressure and cold.  Many factors determine the distribution, species composition, and abundance of the invertebrate fauna.",NA
rocky-shore,rocky-shore_macroalgae-surfgrass.html,macroalgae-surfgrass,F,F,Algae and surfgrass,https://olympiccoast.noaa.gov/living/marinelife/seaweed/seaweed.html,NA,"Seaweeds include numerous species of marine plants and algae, from the microscopic phytoplankton to the enormous giant kelp that form forests beneath the sea. Seaweeds are fundamental to marine ecosystems as they can provide food, shelter, breeding grounds, and habitat for countless organisms. Olympic Coast seaweed flora includes green, red, and brown algae along with surfgrass, a true flowering plant.",NA
rocky-shore,rocky-shore_mussels.html,mussels,F,T,Mussels,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,https://sanctuarysimon.org/dbtools/species-database/id/474/,"Although they may resemble the rocks they're found on, mussels are very much alive. These filter-feeders can form large dense beds that account for significant biomass within the rocky intertidal and provide  an important food source for many other species, including ochre sea stars, snails, and humans. Mussels are considered foundation species--a single species that creates locally stable conditions for other species--and are among several keystone and foundation species that are critical to maintaining OCNMS’s ecosystem structure, function, and stability over time.",NA
rocky-shore,rocky-shore_nis.html,nis,F,F,Non-indigenous species,https://sanctuaries.noaa.gov/science/sentinel-site-program/olympic-coast/invasive-species.html,NA,"Non-indigenous species are not native to the environment in which they are living and may have been introduced through a variety of pathways including in ballast water of oceangoing ships, intentional or accidental releases, or as stow-aways on tsunami debris, such as the debris that washed onto Olympic Coast beaches following the Fukushima, Japan earthquake and tsunami in 2011. Non-indigenous species have the potential to cause ecological and economic harm within environments where they are not native. Rocky shores can be impacted by the arrival of species from other parts of the world that may become invasive if they out-compete native rocky shore species.",NA
rocky-shore,rocky-shore_ochre-star.html,ochre-star,F,T,Ochre stars,https://sanctuarysimon.org/dbtools/species-database/id/55,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_ochrestars.html,"Don't let their slow movement fool you, sea stars are an important part of rocky intertidal ecosystems. Some are fierce predators, while others are vital decomposers. Ochre sea stars in the genus Pisaster and sunflower sea stars in the genus Pycnopodia are considered to be keystone species because loss of these sea stars can lead to changes in community structure or function.",NA
rocky-shore,rocky-shore_pinnipeds.html,pinnipeds,F,F,Seals and sealions,https://olympiccoast.noaa.gov/living/marinelife/mammals/mammals.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_sealions.html,"Pinnipeds are marine mammals and carnivores that have adapted to life in the water and at the water's edge. They forage at sea in the open ocean, but come ashore at some time of the year to mate, give birth, suckle their young, molt, or rest on sandy beaches or rocky shore habitats. Pinnipeds are divided into two families: Eared seals or sea lions (otariids) and the earless or true seals (phocids). Steller and California sea lions are representative eared seals of the Olympic Coast. Harbor seals and elephant seals are the only earless seals of the Olympic Coast.",NA
sandy-beach,sandy-beach_advisories-closures.html,advisories-closures,F,F,Beach advisories,https://ecology.wa.gov/Water-Shorelines/Water-quality/Saltwater/BEACH-program,NA,"Beaches that are popular with swimmers in Washington are regularly sampled by the Department of Ecology to ensure water quality does not pose human health hazards, and occasionally testing reveals levels of bacteria that can prompt closure of beaches. Only two beaches along the Olympic Coast are regularly sampled; both beaches are in the north adjacent to rivers draining into the ocean at Makah Bay and are popular with swimmers and surfers. Few other locations along the coast are regularly used for swimming and other watersports due to dangers posed by high surf and strong currents.",NA
sandy-beach,sandy-beach_beach-wrack.html,beach-wrack,F,F,Beach wrack,https://olympiccoast.noaa.gov/living/marinelife/seaweed/seaweed.html,NA,"Wrack consists of kelp and other algae that washes onto beaches from the ocean. Wrack is an essential part of the ecology of the shoreline, providing food and habitat for amphipods, isopods, insects, birds and other coastal species.",NA
sandy-beach,sandy-beach_nis.html,nis,F,F,Non-indigenous species,https://sanctuaries.noaa.gov/science/sentinel-site-program/olympic-coast/invasive-species.html,https://nmsolympiccoast.blob.core.windows.net/olympiccoast-prod/media/docs/20200724-green-crabs-west-coast.pdf,"Non-indigenous species are not native to the environment in which they are living and may have been introduced through a variety of pathways including in ballast water of oceangoing ships, intentional or accidental releases, or as stow-aways on tsunami debris, such as the debris that washed onto Olympic Coast beaches following the Fukushima, Japan earthquake and tsunami in 2011. Non-indigenous species have the potential to cause ecological and economic harm within environments where they are not native. Beach communities can be impacted by the arrival of species from other parts of the world that may become invasive if they out-compete native species. European green crab is a non-indigenous species that has spread rapidly and become invasive since it was first found on northern Olympic Coast beaches in the summer of 2017.",NA
sandy-beach,sandy-beach_olive-snails.html,olive-snails,F,F,Olive snails,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,NA,"The purple olive snail is a sandy beach shellfish species that is of particular importance to the Makah Tribe because the shells are used for cultural and ceremonial reasons. On the Olympic Coast, purple olive snails experienced a mass mortality event in the summer of 2014, but field surveys suggest that the olive snail population recovered in the years that followed.",NA
sandy-beach,sandy-beach_razor-clams.html,razor-clams,F,F,Pacific razor clam,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,https://sanctuaries.noaa.gov/magazine/2/quinault-razor-clam-dig/,"The Pacific razor clam is an exceptionally meaty shellfish, with a narrow, oblong shell, and is one of the most sought after shellfish in the state of Washington. Razor clams are found primarily on intertidal coastal beaches that are exposed at low tide. The state of Washington and coastal treaty tribes manage razor clam populations and routinely test shellfish in advance of 'digs' to ensure public safety and protect harvesters from contamination that may occur as a result of harmful algal blooms.  Digging razor clams is a popular activity among tribal and recreational harvesters; and the practice is part of the region's rich maritime and cultural heritage. Not only are razor clams delicious to humans, they also provide food for wildlife including shorebirds and sea otters.",NA
sandy-beach,sandy-beach_shellfish-closures.html,shellfish-closures,F,F,Shellfish closures,https://oceanservice.noaa.gov/hazards/hab/west-coast.html,NA,"Harmful algae species and biotoxins in shellfish are naturally present on the Olympic Coast, but increasingly they pose potential risks to the health of humans and other vertebrates that may consume contaminated shellfish. Shellfish in Washington that are harvested for human consumption are tested regularly to detect toxins like domoic acid, and in 2015-2016 high domoic acid levels in Dungeness crabs and razor clams prompted a devastating fishery closure that had negative consequences for coastal treaty tribes and adjacent coastal communities. Additional shellfish harvest closures have occurred more recently as well.",NA
sandy-beach,sandy-beach_shorebirds.html,shorebirds,F,F,Shorebirds,https://olympiccoast.noaa.gov/living/marinelife/birds/birds.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_caspianterns.html,"Olympic Coast National Marine Sanctuary is used by more than 100 different species of marine birds and shorebirds. Many of the birds that are here in significant numbers in the summer travel to the Olympic Coast from nesting areas thousands of miles away. Others nest on offshore islands and live here year-round. Most shorebirds are carnivorous and eat a range of insects, mollusks, crustaceans, and similar prey that they catch by picking and probing with their bills. All seabird species, whether they nest in our region or only visit, tell us something about the health of our marine ecosystem. They breed more successfully when food is abundant, they are sensitive to water contamination such as oil, they respond to human disturbance, and sometimes suffer from disruption of their nesting and roosting sites. By admiring, studying and observing marine birds we can learn much about the ocean as a whole.",NA
sandy-beach,sandy-beach_surfzone-fish.html,surfzone-fish,F,T,Surfzone fish,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,NA,"Some fish are specially adapted to live in the surfzone, where tides and waves are constantly shaping this dynamic environment. Redtail surfperch are silvery fish commonly found schooling in sandy ocean beach habitats from California to British Columbia.",NA
sandy-seafloor,sandy-seafloor_dungeness-crab.html,dungeness-crab,F,F,Dungeness crab,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,NA,"Protected by their hard shell, Dungeness crabs living in sandy seafloor habitats patrol the seafloor in search of food. Dungeness crab populations provide a delicious meal for predators and support important commercial and tribal fisheries that often occur in sandy seafloor areas near the shore and in deeper areas of the  seafloor on the continental shelf.",NA
sandy-seafloor,sandy-seafloor_flatfishes.html,flatfishes,F,T,Flatfishes,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_flounder.html,"Sandy seafloor habitats support a unique array of animals and many, like flatfish, are specially adapted to this environment. Flatfish are exactly what they sound like: fish with oval or diamond-shaped bodies that lie flat on the seafloor. Flatfish are important predators of small seafloor invertebrates, and are prey for sharks and marine mammals; some shallow water flatfish species like sand sole and speckled sanddab are caught occasionally in commercial or recreational fisheries while other flatfish species, like English sole, support active commercial fisheries. Other flatfish like Pacific halibut tend to stay further offshore in deep seafloor habitats.",NA
sandy-seafloor,sandy-seafloor_forage-fish.html,forage-fish,F,T,Forage fish,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,NA,"Forage fish, also called prey fish or bait fish, are small fishes that are important food for larger predators including larger fish, seabirds, sea lions and whales. Forage fish found in sandy seafloor habitats, such as surf smelt and sand lance, feed near the base of the food chain, serving a critical role in transferring energy and nutrients within the food web and supporting the productivity of the ecosystem as a whole. Many forage fish populations are thought to be at risk from climate change and reduced habitat quality.",NA
sandy-seafloor,sandy-seafloor_sea-otters.html,sea-otters,F,F,Sea otters,https://olympiccoast.noaa.gov/living/marinelife/mammals/specieslist/spp_seaotter.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_seaotter.html,"Sea otters are members of the weasel family that have adapted to life almost entirely in the water. Physically larger than river otters, sea otters also have short, paddle-like tails and webbed feet. Washington's sea otters were extirpated in the early 1900s due to hunting, and reintroduced to the Olympic Coast from Alaska in the early 1970s. From that initial reintroduced population of a few dozen individuals, the sea otter population has continued to multiply and expand their range. Sea otters are considered a “keystone species,” meaning that they are an indicator of the health of a habitat. If their population is healthy, it means that other parts of the ecosystem, such as the kelp forest and sandy seafloor habitats in which they live, are likely also healthy.",NA
