site,date,pct_cover,nms,sp
Middle West,2014-11-05,5.35,CINMS,NONCRU
Middle West,2015-11-12,4.95,CINMS,NONCRU
NW Talcott,2002-12-02,2.8,CINMS,NONCRU
NW Talcott,2003-03-14,4.8,CINMS,NONCRU
NW Talcott,2003-11-21,3,CINMS,NONCRU
NW Talcott,2004-04-12,2.761904761904762,CINMS,NONCRU
NW Talcott,2004-12-13,3.25,CINMS,NONCRU
NW Talcott,2005-05-29,1.95,CINMS,NONCRU
NW Talcott,2006-01-11,4.95,CINMS,NONCRU
NW Talcott,2006-12-02,4.45,CINMS,NONCRU
NW Talcott,2007-04-13,3,CINMS,NONCRU
NW Talcott,2007-04-14,4.15,CINMS,NONCRU
NW Talcott,2008-04-11,2.8,CINMS,NONCRU
NW Talcott,2009-01-08,7.2,CINMS,NONCRU
NW Talcott,2009-05-29,2.238095238095238,CINMS,NONCRU
NW Talcott,2010-01-14,7.65,CINMS,NONCRU
NW Talcott,2011-03-17,2.92,CINMS,NONCRU
NW Talcott,2012-01-19,3.56,CINMS,NONCRU
NW Talcott,2012-05-24,1.28,CINMS,NONCRU
NW Talcott,2013-01-23,7.84,CINMS,NONCRU
NW Talcott,2013-04-05,5.68,CINMS,NONCRU
NW Talcott,2013-11-13,5.68,CINMS,NONCRU
NW Talcott,2014-03-13,7.72,CINMS,NONCRU
NW Talcott,2015-04-16,6.8,CINMS,NONCRU
NW Talcott,2015-11-27,4.84,CINMS,NONCRU
Orizaba Cove,2003-01-30,5.291666666666667,CINMS,NONCRU
Orizaba Cove,2003-05-19,2.52,CINMS,NONCRU
Orizaba Cove,2004-01-22,2.125,CINMS,NONCRU
Orizaba Cove,2005-12-01,3.8,CINMS,NONCRU
Orizaba Cove,2006-03-27,1.92,CINMS,NONCRU
Orizaba Cove,2007-01-03,2.08,CINMS,NONCRU
Orizaba Cove,2007-03-15,2.72,CINMS,NONCRU
Orizaba Cove,2007-12-22,9.4,CINMS,NONCRU
Orizaba Cove,2008-03-07,5,CINMS,NONCRU
Orizaba Cove,2008-11-26,6.36,CINMS,NONCRU
Orizaba Cove,2009-03-07,6.8,CINMS,NONCRU
Orizaba Cove,2009-12-14,3,CINMS,NONCRU
Orizaba Cove,2010-11-03,3.48,CINMS,NONCRU
Orizaba Cove,2011-03-31,3.24,CINMS,NONCRU
Orizaba Cove,2011-12-20,1.52,CINMS,NONCRU
Orizaba Cove,2014-11-19,4.08,CINMS,NONCRU
Otter Harbor,2003-01-15,11.15,CINMS,NONCRU
Otter Harbor,2003-04-12,6.85,CINMS,NONCRU
Otter Harbor,2004-01-06,6.25,CINMS,NONCRU
Otter Harbor,2004-05-10,1.95,CINMS,NONCRU
Otter Harbor,2005-01-21,4.5,CINMS,NONCRU
Otter Harbor,2005-05-01,0.8,CINMS,NONCRU
Otter Harbor,2006-01-26,1.4,CINMS,NONCRU
Otter Harbor,2007-01-17,3.4,CINMS,NONCRU
Otter Harbor,2007-05-20,0.35,CINMS,NONCRU
Otter Harbor,2008-01-19,12.85,CINMS,NONCRU
Otter Harbor,2008-05-10,0.75,CINMS,NONCRU
Otter Harbor,2009-01-22,8.9,CINMS,NONCRU
Otter Harbor,2009-04-04,0.05,CINMS,NONCRU
Otter Harbor,2009-11-13,1.7,CINMS,NONCRU
Otter Harbor,2010-04-21,5.105263157894737,CINMS,NONCRU
Otter Harbor,2010-12-04,1.05,CINMS,NONCRU
Otter Harbor,2011-12-07,4.55,CINMS,NONCRU
Otter Harbor,2012-03-19,3.5,CINMS,NONCRU
Otter Harbor,2013-01-08,3.15,CINMS,NONCRU
Otter Harbor,2013-03-08,3.5,CINMS,NONCRU
Otter Harbor,2014-01-14,1.05,CINMS,NONCRU
Otter Harbor,2014-03-25,2.15,CINMS,NONCRU
Otter Harbor,2014-12-04,2.55,CINMS,NONCRU
Prisoners Harbor,2002-11-05,4.24,CINMS,NONCRU
Prisoners Harbor,2003-03-24,6.64,CINMS,NONCRU
Prisoners Harbor,2003-12-05,1.6,CINMS,NONCRU
Prisoners Harbor,2004-03-29,2.52,CINMS,NONCRU
Prisoners Harbor,2004-11-11,3.72,CINMS,NONCRU
Prisoners Harbor,2005-03-07,5.56,CINMS,NONCRU
Prisoners Harbor,2005-10-14,3.44,CINMS,NONCRU
Prisoners Harbor,2006-12-17,2.72,CINMS,NONCRU
Prisoners Harbor,2007-03-25,3.56,CINMS,NONCRU
Prisoners Harbor,2008-03-17,4.32,CINMS,NONCRU
Prisoners Harbor,2008-12-09,3.32,CINMS,NONCRU
Prisoners Harbor,2009-04-30,3.16,CINMS,NONCRU
Prisoners Harbor,2009-11-01,3.2,CINMS,NONCRU
Prisoners Harbor,2010-03-23,3.92,CINMS,NONCRU
Prisoners Harbor,2010-11-17,1,CINMS,NONCRU
Prisoners Harbor,2012-01-06,2.2,CINMS,NONCRU
Prisoners Harbor,2012-05-12,1.12,CINMS,NONCRU
Prisoners Harbor,2012-12-09,1.4,CINMS,NONCRU
Prisoners Harbor,2013-03-22,1.36,CINMS,NONCRU
Prisoners Harbor,2013-10-31,1.12,CINMS,NONCRU
Prisoners Harbor,2014-04-11,2.28,CINMS,NONCRU
Prisoners Harbor,2014-11-18,3.28,CINMS,NONCRU
Prisoners Harbor,2016-01-19,2.44,CINMS,NONCRU
S Frenchys Cove,2003-01-27,0.95,CINMS,NONCRU
S Frenchys Cove,2003-05-20,0.4,CINMS,NONCRU
S Frenchys Cove,2004-01-19,0.15,CINMS,NONCRU
S Frenchys Cove,2004-06-07,0.25,CINMS,NONCRU
S Frenchys Cove,2005-01-23,1.105263157894737,CINMS,NONCRU
S Frenchys Cove,2005-06-24,0.47368421052631576,CINMS,NONCRU
S Frenchys Cove,2005-12-14,0.95,CINMS,NONCRU
S Frenchys Cove,2006-03-28,1.75,CINMS,NONCRU
S Frenchys Cove,2006-11-22,0.3,CINMS,NONCRU
S Frenchys Cove,2007-03-17,1.95,CINMS,NONCRU
S Frenchys Cove,2007-12-21,2.8,CINMS,NONCRU
S Frenchys Cove,2008-03-03,1.45,CINMS,NONCRU
S Frenchys Cove,2008-11-11,0.75,CINMS,NONCRU
S Frenchys Cove,2009-03-09,1.3,CINMS,NONCRU
S Frenchys Cove,2009-12-02,1.05,CINMS,NONCRU
S Frenchys Cove,2010-03-12,1.95,CINMS,NONCRU
S Frenchys Cove,2010-11-05,0.1,CINMS,NONCRU
S Frenchys Cove,2011-11-23,0.05,CINMS,NONCRU
S Frenchys Cove,2012-04-23,0.85,CINMS,NONCRU
S Frenchys Cove,2012-11-25,2.1,CINMS,NONCRU
S Frenchys Cove,2013-05-04,1.55,CINMS,NONCRU
S Frenchys Cove,2013-12-16,1.55,CINMS,NONCRU
S Frenchys Cove,2014-05-20,3.5789473684210527,CINMS,NONCRU
S Frenchys Cove,2014-11-03,4.6,CINMS,NONCRU
S Frenchys Cove,2015-11-11,2.25,CINMS,NONCRU
Scorpion Rock,2003-01-31,4.52,CINMS,NONCRU
Scorpion Rock,2003-05-22,0.52,CINMS,NONCRU
Scorpion Rock,2003-12-19,1.24,CINMS,NONCRU
Scorpion Rock,2004-03-16,2.375,CINMS,NONCRU
Scorpion Rock,2005-01-08,3.68,CINMS,NONCRU
Scorpion Rock,2005-04-19,0.48,CINMS,NONCRU
Scorpion Rock,2006-03-25,3.52,CINMS,NONCRU
Scorpion Rock,2007-03-14,3.16,CINMS,NONCRU
Scorpion Rock,2008-03-06,2.0416666666666665,CINMS,NONCRU
Scorpion Rock,2008-11-25,3.68,CINMS,NONCRU
Scorpion Rock,2009-12-01,4.72,CINMS,NONCRU
Scorpion Rock,2010-03-28,3.28,CINMS,NONCRU
Scorpion Rock,2010-12-03,3.56,CINMS,NONCRU
Scorpion Rock,2011-11-22,3.16,CINMS,NONCRU
Scorpion Rock,2012-10-28,3.4,CINMS,NONCRU
Scorpion Rock,2012-10-29,0.4,CINMS,NONCRU
Scorpion Rock,2013-04-19,3.84,CINMS,NONCRU
Scorpion Rock,2013-12-13,3.96,CINMS,NONCRU
Scorpion Rock,2014-04-23,4.96,CINMS,NONCRU
Scorpion Rock,2014-12-19,6.333333333333333,CINMS,NONCRU
Scorpion Rock,2015-10-25,6.24,CINMS,NONCRU
Sea Lion Rookery,2002-11-20,0.35,CINMS,NONCRU
Sea Lion Rookery,2003-10-25,0.15,CINMS,NONCRU
Sea Lion Rookery,2004-11-11,0,CINMS,NONCRU
Sea Lion Rookery,2004-11-12,0,CINMS,NONCRU
Sea Lion Rookery,2006-11-04,0.2,CINMS,NONCRU
Sea Lion Rookery,2007-10-26,0,CINMS,NONCRU
Sea Lion Rookery,2008-10-16,0,CINMS,NONCRU
Sea Lion Rookery,2009-10-16,0,CINMS,NONCRU
Sea Lion Rookery,2010-10-07,0,CINMS,NONCRU
Sea Lion Rookery,2011-10-24,0.05,CINMS,NONCRU
Sea Lion Rookery,2012-11-13,0,CINMS,NONCRU
Sea Lion Rookery,2013-10-19,0.1,CINMS,NONCRU
Sea Lion Rookery,2015-01-29,0.35,CINMS,NONCRU
Trailer,2002-11-02,0.75,CINMS,NONCRU
Trailer,2003-03-25,2.55,CINMS,NONCRU
Trailer,2003-12-09,0.5,CINMS,NONCRU
Trailer,2004-04-01,0.95,CINMS,NONCRU
Trailer,2004-11-13,0.4,CINMS,NONCRU
Trailer,2005-03-09,0.9047619047619048,CINMS,NONCRU
Trailer,2005-10-15,2,CINMS,NONCRU
Trailer,2005-10-17,1,CINMS,NONCRU
Trailer,2006-12-19,0.23809523809523808,CINMS,NONCRU
Trailer,2007-03-27,0.6190476190476191,CINMS,NONCRU
Trailer,2008-03-19,0.8181818181818182,CINMS,NONCRU
Trailer,2008-12-11,1.6666666666666667,CINMS,NONCRU
Trailer,2009-04-27,1.7142857142857142,CINMS,NONCRU
Trailer,2009-11-04,1.0476190476190477,CINMS,NONCRU
Trailer,2010-03-26,2.380952380952381,CINMS,NONCRU
Trailer,2010-11-18,1.1428571428571428,CINMS,NONCRU
Trailer,2012-01-08,1.6666666666666667,CINMS,NONCRU
Trailer,2012-05-09,1.2380952380952381,CINMS,NONCRU
Trailer,2012-12-10,0.9047619047619048,CINMS,NONCRU
Trailer,2013-03-24,1.7619047619047619,CINMS,NONCRU
Trailer,2013-11-01,0.5238095238095238,CINMS,NONCRU
Trailer,2014-04-08,1.0476190476190477,CINMS,NONCRU
Trailer,2014-11-22,1.3333333333333333,CINMS,NONCRU
Trailer,2016-01-22,3.4285714285714284,CINMS,NONCRU
Willows Anchorage,2002-11-04,1.15,CINMS,NONCRU
Willows Anchorage,2003-03-27,3.65,CINMS,NONCRU
Willows Anchorage,2003-12-07,3.4,CINMS,NONCRU
Willows Anchorage,2004-03-30,2.6,CINMS,NONCRU
Willows Anchorage,2004-11-14,3.3684210526315788,CINMS,NONCRU
Willows Anchorage,2005-03-10,2.25,CINMS,NONCRU
Willows Anchorage,2005-10-16,4.65,CINMS,NONCRU
Willows Anchorage,2006-12-20,3.45,CINMS,NONCRU
Willows Anchorage,2007-03-28,4.45,CINMS,NONCRU
Willows Anchorage,2008-03-18,4.35,CINMS,NONCRU
Willows Anchorage,2008-12-11,5.6,CINMS,NONCRU
Willows Anchorage,2009-04-29,3.7,CINMS,NONCRU
Willows Anchorage,2009-11-02,4.6,CINMS,NONCRU
Willows Anchorage,2010-03-25,5.5,CINMS,NONCRU
Willows Anchorage,2010-11-22,2.85,CINMS,NONCRU
Willows Anchorage,2012-01-07,2.25,CINMS,NONCRU
Willows Anchorage,2012-05-11,3.3,CINMS,NONCRU
Willows Anchorage,2012-12-12,4.3,CINMS,NONCRU
Willows Anchorage,2013-03-23,4.15,CINMS,NONCRU
Willows Anchorage,2013-11-03,2.95,CINMS,NONCRU
Willows Anchorage,2014-04-10,4.05,CINMS,NONCRU
Willows Anchorage,2014-11-20,6.85,CINMS,NONCRU
Willows Anchorage,2016-01-23,6,CINMS,NONCRU
CINMS,2002-06-15,1.3616483516483517,CINMS,NONCRU
CINMS,2003-06-15,3.3471751443001443,CINMS,NONCRU
CINMS,2004-06-15,1.7639581115097112,CINMS,NONCRU
CINMS,2005-06-15,1.8735193840456998,CINMS,NONCRU
CINMS,2006-06-15,2.1076026272578,CINMS,NONCRU
CINMS,2007-06-15,2.5339980158730158,CINMS,NONCRU
CINMS,2008-06-15,2.931013616013616,CINMS,NONCRU
CINMS,2009-06-15,2.3915447348530057,CINMS,NONCRU
CINMS,2010-06-15,2.14944313163862,CINMS,NONCRU
CINMS,2011-06-15,1.5645183290707587,CINMS,NONCRU
CINMS,2012-06-15,1.5508311287477954,CINMS,NONCRU
CINMS,2013-06-15,2.5022876984126983,CINMS,NONCRU
CINMS,2014-06-15,3.7464948830409357,CINMS,NONCRU
CINMS,2015-06-15,2.9738541666666665,CINMS,NONCRU
CINMS,2016-06-15,3.0885714285714285,CINMS,NONCRU
Cat Rock,2003-01-28,0,CINMS,OTHBAR
Cat Rock,2003-05-21,0,CINMS,OTHBAR
Cat Rock,2004-01-20,0,CINMS,OTHBAR
Cat Rock,2005-01-24,0,CINMS,OTHBAR
Cat Rock,2005-06-24,0,CINMS,OTHBAR
Cat Rock,2005-12-11,0,CINMS,OTHBAR
Cat Rock,2006-11-20,0,CINMS,OTHBAR
Cat Rock,2007-12-21,0,CINMS,OTHBAR
Cat Rock,2008-03-05,0,CINMS,OTHBAR
Cat Rock,2008-11-11,0,CINMS,OTHBAR
Cat Rock,2009-11-30,0,CINMS,OTHBAR
Cat Rock,2010-03-11,0,CINMS,OTHBAR
Cat Rock,2010-11-04,0,CINMS,OTHBAR
Cat Rock,2011-12-21,0,CINMS,OTHBAR
Cat Rock,2012-11-26,0,CINMS,OTHBAR
Cat Rock,2013-05-04,0,CINMS,OTHBAR
Cat Rock,2013-12-16,0,CINMS,OTHBAR
Crook Point,2003-01-14,0,CINMS,OTHBAR
Crook Point,2003-04-11,0,CINMS,OTHBAR
Crook Point,2004-01-07,0,CINMS,OTHBAR
Crook Point,2004-05-09,0,CINMS,OTHBAR
Crook Point,2005-01-23,0,CINMS,OTHBAR
Crook Point,2005-04-30,0,CINMS,OTHBAR
Crook Point,2006-01-25,0,CINMS,OTHBAR
Crook Point,2007-01-19,0,CINMS,OTHBAR
Crook Point,2007-05-19,0,CINMS,OTHBAR
Crook Point,2008-01-20,0,CINMS,OTHBAR
Crook Point,2008-05-09,0,CINMS,OTHBAR
Crook Point,2009-01-21,0,CINMS,OTHBAR
Crook Point,2009-04-05,0,CINMS,OTHBAR
Crook Point,2009-11-14,0,CINMS,OTHBAR
Crook Point,2010-04-20,0,CINMS,OTHBAR
Crook Point,2010-12-06,0,CINMS,OTHBAR
Crook Point,2011-12-08,0,CINMS,OTHBAR
Crook Point,2012-03-15,0,CINMS,OTHBAR
Crook Point,2013-01-09,0,CINMS,OTHBAR
Crook Point,2013-03-09,0,CINMS,OTHBAR
Cuyler Harbor,2002-12-31,0,CINMS,OTHBAR
Cuyler Harbor,2003-04-13,0,CINMS,OTHBAR
Cuyler Harbor,2004-01-08,0,CINMS,OTHBAR
Cuyler Harbor,2004-05-07,0,CINMS,OTHBAR
Cuyler Harbor,2005-01-24,0,CINMS,OTHBAR
Cuyler Harbor,2005-04-28,0,CINMS,OTHBAR
Cuyler Harbor,2006-01-28,0,CINMS,OTHBAR
Cuyler Harbor,2007-01-16,0,CINMS,OTHBAR
Cuyler Harbor,2007-05-21,0,CINMS,OTHBAR
Cuyler Harbor,2008-01-18,0,CINMS,OTHBAR
Cuyler Harbor,2008-05-07,0,CINMS,OTHBAR
Cuyler Harbor,2009-01-20,0,CINMS,OTHBAR
Cuyler Harbor,2009-04-06,0,CINMS,OTHBAR
Cuyler Harbor,2009-11-16,0,CINMS,OTHBAR
Cuyler Harbor,2010-04-18,0,CINMS,OTHBAR
Cuyler Harbor,2010-12-07,0,CINMS,OTHBAR
Cuyler Harbor,2011-12-10,0,CINMS,OTHBAR
Cuyler Harbor,2012-03-14,0,CINMS,OTHBAR
Cuyler Harbor,2013-01-11,0,CINMS,OTHBAR
Cuyler Harbor,2013-03-11,0,CINMS,OTHBAR
East Point,2002-12-04,0,CINMS,OTHBAR
East Point,2003-03-16,0,CINMS,OTHBAR
East Point,2003-11-22,0,CINMS,OTHBAR
East Point,2004-04-09,0,CINMS,OTHBAR
East Point,2004-12-09,0,CINMS,OTHBAR
East Point,2005-05-28,0,CINMS,OTHBAR
East Point,2006-01-15,0,CINMS,OTHBAR
East Point,2006-12-03,0,CINMS,OTHBAR
East Point,2007-04-11,0,CINMS,OTHBAR
East Point,2008-01-03,0,CINMS,OTHBAR
East Point,2008-04-10,0,CINMS,OTHBAR
East Point,2009-01-07,0,CINMS,OTHBAR
East Point,2009-05-28,0,CINMS,OTHBAR
East Point,2010-01-13,0,CINMS,OTHBAR
East Point,2011-03-16,0,CINMS,OTHBAR
East Point,2012-01-20,0,CINMS,OTHBAR
East Point,2012-04-12,0,CINMS,OTHBAR
East Point,2013-01-26,0,CINMS,OTHBAR
East Point,2013-04-06,0,CINMS,OTHBAR
East Point,2013-11-15,0,CINMS,OTHBAR
Ford Point,2002-12-05,0,CINMS,OTHBAR
Ford Point,2003-03-18,0,CINMS,OTHBAR
Ford Point,2003-11-25,0,CINMS,OTHBAR
Ford Point,2004-04-10,0,CINMS,OTHBAR
Ford Point,2004-12-14,0,CINMS,OTHBAR
Ford Point,2005-05-26,0,CINMS,OTHBAR
Ford Point,2006-01-14,0,CINMS,OTHBAR
Ford Point,2006-11-30,0,CINMS,OTHBAR
Ford Point,2007-04-15,0,CINMS,OTHBAR
Ford Point,2008-01-03,0,CINMS,OTHBAR
Ford Point,2008-04-12,0,CINMS,OTHBAR
Ford Point,2009-01-10,0,CINMS,OTHBAR
Ford Point,2009-05-27,0,CINMS,OTHBAR
Ford Point,2010-01-12,0,CINMS,OTHBAR
Ford Point,2011-03-15,0,CINMS,OTHBAR
Ford Point,2012-01-22,0,CINMS,OTHBAR
Ford Point,2012-05-23,0,CINMS,OTHBAR
Ford Point,2013-01-27,0,CINMS,OTHBAR
Ford Point,2013-04-07,0,CINMS,OTHBAR
Ford Point,2013-11-17,0,CINMS,OTHBAR
Fossil Reef,2002-12-03,0,CINMS,OTHBAR
Fossil Reef,2003-03-13,0,CINMS,OTHBAR
Fossil Reef,2003-11-23,0,CINMS,OTHBAR
Fossil Reef,2004-04-13,0,CINMS,OTHBAR
Fossil Reef,2004-12-12,0,CINMS,OTHBAR
Fossil Reef,2005-05-30,0,CINMS,OTHBAR
Fossil Reef,2006-01-12,0,CINMS,OTHBAR
Fossil Reef,2006-12-01,0,CINMS,OTHBAR
Fossil Reef,2007-04-13,0,CINMS,OTHBAR
Fossil Reef,2008-04-13,0,CINMS,OTHBAR
Fossil Reef,2009-01-09,0,CINMS,OTHBAR
Fossil Reef,2009-05-30,0,CINMS,OTHBAR
Fossil Reef,2010-01-15,0,CINMS,OTHBAR
Fossil Reef,2011-03-18,0,CINMS,OTHBAR
Fossil Reef,2012-01-18,0,CINMS,OTHBAR
Fossil Reef,2012-04-15,0,CINMS,OTHBAR
Fossil Reef,2013-04-04,0,CINMS,OTHBAR
Fossil Reef,2013-11-14,0,CINMS,OTHBAR
Fraser Cove,2002-11-03,0,CINMS,OTHBAR
Fraser Cove,2003-03-26,0,CINMS,OTHBAR
Fraser Cove,2003-12-08,0,CINMS,OTHBAR
Fraser Cove,2004-03-31,0,CINMS,OTHBAR
Fraser Cove,2004-11-12,0,CINMS,OTHBAR
Fraser Cove,2005-03-08,0,CINMS,OTHBAR
Fraser Cove,2005-10-15,0,CINMS,OTHBAR
Fraser Cove,2006-12-19,0,CINMS,OTHBAR
Fraser Cove,2007-03-26,0,CINMS,OTHBAR
Fraser Cove,2008-03-20,0,CINMS,OTHBAR
Fraser Cove,2008-12-11,0,CINMS,OTHBAR
Fraser Cove,2009-04-28,0,CINMS,OTHBAR
Fraser Cove,2009-11-03,0,CINMS,OTHBAR
Fraser Cove,2010-03-24,0,CINMS,OTHBAR
Fraser Cove,2010-11-19,0,CINMS,OTHBAR
Fraser Cove,2012-01-09,0,CINMS,OTHBAR
Fraser Cove,2012-05-10,0,CINMS,OTHBAR
Fraser Cove,2012-12-11,0,CINMS,OTHBAR
Fraser Cove,2013-03-25,0,CINMS,OTHBAR
Fraser Cove,2013-11-02,0,CINMS,OTHBAR
Harris Point,2003-01-16,0,CINMS,OTHBAR
Harris Point,2003-04-13,0,CINMS,OTHBAR
Harris Point,2004-01-05,0,CINMS,OTHBAR
Harris Point,2004-05-08,0,CINMS,OTHBAR
Harris Point,2005-01-22,0,CINMS,OTHBAR
Harris Point,2005-04-29,0,CINMS,OTHBAR
Harris Point,2006-01-27,0,CINMS,OTHBAR
Harris Point,2007-01-18,0,CINMS,OTHBAR
Harris Point,2007-05-18,0,CINMS,OTHBAR
Harris Point,2008-01-21,0,CINMS,OTHBAR
Harris Point,2008-05-08,0,CINMS,OTHBAR
Harris Point,2009-01-23,0,CINMS,OTHBAR
Harris Point,2009-04-03,0,CINMS,OTHBAR
Harris Point,2009-11-15,0,CINMS,OTHBAR
Harris Point,2010-04-19,0,CINMS,OTHBAR
Harris Point,2010-12-05,0,CINMS,OTHBAR
Harris Point,2011-12-12,0,CINMS,OTHBAR
Harris Point,2012-03-16,0,CINMS,OTHBAR
Harris Point,2013-01-10,0,CINMS,OTHBAR
Harris Point,2013-03-10,0,CINMS,OTHBAR
Johnsons Lee,2002-12-01,0,CINMS,OTHBAR
Johnsons Lee,2003-03-17,0,CINMS,OTHBAR
Johnsons Lee,2003-11-24,0,CINMS,OTHBAR
Johnsons Lee,2004-04-11,0,CINMS,OTHBAR
Johnsons Lee,2004-12-11,0,CINMS,OTHBAR
Johnsons Lee,2005-05-27,0,CINMS,OTHBAR
Johnsons Lee,2006-01-10,0,CINMS,OTHBAR
Johnsons Lee,2006-12-04,0,CINMS,OTHBAR
Johnsons Lee,2007-04-12,0,CINMS,OTHBAR
Johnsons Lee,2008-01-03,0,CINMS,OTHBAR
Johnsons Lee,2008-04-09,0,CINMS,OTHBAR
Johnsons Lee,2009-01-11,0,CINMS,OTHBAR
Johnsons Lee,2009-05-26,0,CINMS,OTHBAR
Johnsons Lee,2010-01-11,0,CINMS,OTHBAR
Johnsons Lee,2011-03-14,0,CINMS,OTHBAR
Johnsons Lee,2012-01-17,0,CINMS,OTHBAR
Johnsons Lee,2012-04-16,0,CINMS,OTHBAR
Johnsons Lee,2013-01-22,0,CINMS,OTHBAR
Johnsons Lee,2013-04-03,0,CINMS,OTHBAR
Johnsons Lee,2013-11-16,0,CINMS,OTHBAR
Landing Cove,2002-11-19,0,CINMS,OTHBAR
Landing Cove,2002-11-21,0,CINMS,OTHBAR
Landing Cove,2003-10-24,0,CINMS,OTHBAR
Landing Cove,2004-11-10,0,CINMS,OTHBAR
Landing Cove,2005-11-11,0,CINMS,OTHBAR
Landing Cove,2006-11-02,0,CINMS,OTHBAR
Landing Cove,2007-10-25,0,CINMS,OTHBAR
Landing Cove,2007-10-27,0,CINMS,OTHBAR
Landing Cove,2008-10-15,0.1,CINMS,OTHBAR
Landing Cove,2008-10-17,0,CINMS,OTHBAR
Landing Cove,2009-10-15,0,CINMS,OTHBAR
Landing Cove,2010-10-06,0,CINMS,OTHBAR
Landing Cove,2010-10-08,0,CINMS,OTHBAR
Landing Cove,2011-10-23,0,CINMS,OTHBAR
Landing Cove,2012-11-12,0,CINMS,OTHBAR
Landing Cove,2013-10-18,0,CINMS,OTHBAR
Middle East,2003-01-29,0,CINMS,OTHBAR
Middle East,2003-04-24,0,CINMS,OTHBAR
Middle East,2004-01-21,0,CINMS,OTHBAR
Middle East,2005-01-06,0,CINMS,OTHBAR
Middle East,2005-12-13,0,CINMS,OTHBAR
Middle East,2006-03-26,0,CINMS,OTHBAR
Middle East,2006-11-21,0,CINMS,OTHBAR
Middle East,2007-03-16,0,CINMS,OTHBAR
Middle East,2007-12-20,0,CINMS,OTHBAR
Middle East,2008-03-04,0,CINMS,OTHBAR
Middle East,2008-11-12,0,CINMS,OTHBAR
Middle East,2009-03-08,0,CINMS,OTHBAR
Middle East,2009-12-15,0,CINMS,OTHBAR
Middle East,2010-03-12,0,CINMS,OTHBAR
Middle East,2010-12-02,0,CINMS,OTHBAR
Middle East,2012-04-25,0,CINMS,OTHBAR
Middle West,2003-01-29,0,CINMS,OTHBAR
Middle West,2003-04-24,0,CINMS,OTHBAR
Middle West,2004-01-21,0,CINMS,OTHBAR
Middle West,2005-01-06,0,CINMS,OTHBAR
Middle West,2005-06-23,0,CINMS,OTHBAR
Middle West,2005-12-13,0.1,CINMS,OTHBAR
Middle West,2006-03-26,0,CINMS,OTHBAR
Middle West,2006-11-21,0,CINMS,OTHBAR
Middle West,2007-03-16,0,CINMS,OTHBAR
Middle West,2007-12-20,0,CINMS,OTHBAR
Middle West,2008-03-04,0,CINMS,OTHBAR
Middle West,2008-11-12,0,CINMS,OTHBAR
Middle West,2009-03-08,0,CINMS,OTHBAR
Middle West,2009-12-15,0,CINMS,OTHBAR
Middle West,2010-03-12,0,CINMS,OTHBAR
Middle West,2010-12-02,0,CINMS,OTHBAR
Middle West,2011-03-30,0,CINMS,OTHBAR
Middle West,2012-04-24,0,CINMS,OTHBAR
Middle West,2012-11-27,0,CINMS,OTHBAR
Middle West,2013-05-03,0,CINMS,OTHBAR
Middle West,2013-12-02,0,CINMS,OTHBAR
NW Talcott,2002-12-02,0,CINMS,OTHBAR
NW Talcott,2003-03-14,0,CINMS,OTHBAR
NW Talcott,2003-11-21,0,CINMS,OTHBAR
NW Talcott,2004-04-12,0,CINMS,OTHBAR
NW Talcott,2004-12-13,0,CINMS,OTHBAR
NW Talcott,2005-05-29,0,CINMS,OTHBAR
NW Talcott,2006-01-11,0,CINMS,OTHBAR
NW Talcott,2006-12-02,0,CINMS,OTHBAR
NW Talcott,2007-04-14,0,CINMS,OTHBAR
NW Talcott,2008-04-11,0,CINMS,OTHBAR
NW Talcott,2009-01-08,0,CINMS,OTHBAR
NW Talcott,2009-05-29,0,CINMS,OTHBAR
NW Talcott,2010-01-14,0,CINMS,OTHBAR
NW Talcott,2011-03-17,0,CINMS,OTHBAR
NW Talcott,2012-01-19,0,CINMS,OTHBAR
NW Talcott,2012-05-24,0,CINMS,OTHBAR
NW Talcott,2013-01-23,0,CINMS,OTHBAR
NW Talcott,2013-04-05,0,CINMS,OTHBAR
NW Talcott,2013-11-13,0,CINMS,OTHBAR
Orizaba Cove,2003-01-30,0,CINMS,OTHBAR
Orizaba Cove,2003-05-19,0,CINMS,OTHBAR
Orizaba Cove,2004-01-22,0,CINMS,OTHBAR
Orizaba Cove,2005-12-01,0,CINMS,OTHBAR
Orizaba Cove,2006-03-27,0,CINMS,OTHBAR
Orizaba Cove,2007-01-03,0,CINMS,OTHBAR
Orizaba Cove,2007-03-15,0,CINMS,OTHBAR
Orizaba Cove,2007-12-22,0,CINMS,OTHBAR
Orizaba Cove,2008-03-07,0,CINMS,OTHBAR
Orizaba Cove,2008-11-26,0,CINMS,OTHBAR
Orizaba Cove,2009-03-07,0,CINMS,OTHBAR
Orizaba Cove,2009-12-14,0,CINMS,OTHBAR
Orizaba Cove,2010-11-03,0,CINMS,OTHBAR
Orizaba Cove,2011-03-31,0,CINMS,OTHBAR
Orizaba Cove,2011-12-20,0,CINMS,OTHBAR
Otter Harbor,2003-01-15,0,CINMS,OTHBAR
Otter Harbor,2003-04-12,0,CINMS,OTHBAR
Otter Harbor,2004-01-06,0,CINMS,OTHBAR
Otter Harbor,2004-05-10,0,CINMS,OTHBAR
Otter Harbor,2005-01-21,0,CINMS,OTHBAR
Otter Harbor,2005-05-01,0,CINMS,OTHBAR
Otter Harbor,2006-01-26,0,CINMS,OTHBAR
